acid,SCN3,protein
PI507151,S,41.3
PI567604A,MS,43.8
PI578474,,42.8
PI587987A,,43.9
PI593976,,55.6
PI603401,,47
PI171652,S,43.7
PI181542,S,41.8
PI189901,S,47.6
PI257434,S,41.4
PI297504,S,45.7
PI361056,MS,41.6
PI361061B,S,38.8
PI361113,S,47.8
PI372413,S,42
PI398191,S,45.8
PI398790,S,47.1
PI407905,S,46.8
PI408197B,S,44.5
PI408232,S,44.9
PI408269A,S,42.4
PI417152,S,43.1
PI417228,S,45.5
PI417512A,S,43.3
PI424258,S,47.2
PI424287,S,42.1
PI437107,S,43.2
PI437280,MS,41.8
PI437391,MS,45.8
PI437410,MS,45.2
PI437429B,MS,45.6
PI437630D,S,45.8
PI437761,S,43.4
PI438370,MS,40.1
PI458047,S,45.4
PI458140,S,42.8
PI506581C,S,44.3
PI506809,S,44.5
PI567162,,45.7
PI567212D,,43.9
PI567532,S,46.7
PI567734,,52
PI567779B,,43
PI592910,,40.8
PI594807A,,41.7
PI597399,,41.7
PI603426C,,38.7
PI603437A,,42.7
PI603464,,43.5
PI189880,S,48.9
PI243529,S,40.9
PI291312,S,41
PI297498B,S,42
PI391578,S,46
PI398655,S,44.9
PI398867,MS,46
PI404193,S,45.4
PI407724,S,43.7
PI407772B,MS,43.6
PI408032A,S,43.7
PI408140A,S,49.2
PI416750,S,47.7
PI423749,S,44.7
PI424172A,S,45.3
PI424221B,S,45
PI424345,S,43.3
PI437127A,MS,43.9
PI437409,MS,42.4
PI437623,S,43
PI437742,S,45.5
PI437827,S,42.6
PI438126,S,41.4
PI438259A,S,45.5
PI438374,S,41.8
PI442007B,S,47.7
PI458517,S,43.2
PI467326,S,41.1
PI467334B,S,41.2
PI506766,S,42.8
PI507684,S,42.9
PI567218,,42
PI602500B,,42.9
PI603307,,42.8
PI603915E,,43.3
PI153273,S,41.8
PI189920,S,43.6
PI266806C,,43.5
PI291311A,S,43.4
PI297545,S,43.3
PI378664B,S,44.7
PI378674A,S,43.4
PI398514,S,47.7
PI398914,S,46.1
PI407914B,S,47.4
PI407932A,S,46.5
PI408090,S,44.9
PI408169D,S,44.5
PI408172,S,46.5
PI408332A,S,45.9
PI423711,S,38.8
PI424318,MS,44.3
PI424339,S,45.2
PI424545,S,42
PI424587,S,41.2
PI424600,S,47
PI437268,S,41
PI437303,S,40.2
PI437536,S,40.9
PI437573B,S,45.4
PI437632B,S,46
PI438194,MS,42.1
PI438337,MS,41.8
PI438389,MS,45.5
PI464881,S,42.6
PI506572,S,46.3
PI561282B,,43.3
PI567461,S,41.6
PI567551,S,48.3
PI567643,S,45.4
PI578364,,46.1
PI594685B,,47.5
PI594899B,,42.5
PI602502B,,46.3
PI603165B,,44.9
PI603382B,,42.5
PI603397,,46.6
PI605840B,,45.1
PI153272,S,41.8
PI157457,S,41
PI180530,MS,43.7
PI290120,MS,43
PI398350,S,44
PI398922,MS,48.1
PI407998C,MS,45.7
PI408170,S,43.8
PI408237,MS,45.7
PI408255B,S,45
PI423980,MS,45.8
PI424221A,S,46.6
PI424222A,S,46.9
PI424257A,MS,41.9
PI424462B,S,46.1
PI424535A,S,45.7
PI437367,S,45.8
PI437417,MS,43.7
PI437518,S,43.3
PI437550B,S,41.9
PI437753A,S,43.9
PI437818B,S,45
PI438393,S,39
PI449457,S,39.1
PI458106,S,45.7
PI458117,MS,43
PI458118,S,45.5
PI458208,MS,45.2
PI458296,S,43
PI464876,S,39.9
PI506762A,S,42.7
PI507253,S,42.5
PI567004,,46
PI567279A,,42.5
PI567279B,,44.2
PI567465,S,43.6
PI578388A,,45.1
PI578425,,41.7
PI602993,,45.7
PI603339B,,48
PI603435A,,41.5
PI603613,,43.9
PI603916,,46.2
PI103091,MS,42.9
PI257436,S,40.6
PI297508,S,43.2
PI361058,S,39.6
PI361118,,43.4
PI361120,,41.7
PI398325,S,45.8
PI407863,MS,45.6
PI407946-2,MS,45
PI408174,S,44.1
PI408197A,S,44.6
PI408327A,S,44.4
PI417020,S,46.8
PI417371,S,42.9
PI423778,S,43.6
PI424328,S,44
PI424369,S,44.5
PI424509,S,44
PI424557,S,45.9
PI424580,S,41.8
PI436612,MS,41.9
PI437378A,MS,47.1
PI437420A,S,46
PI437500A,S,43.8
PI437503,S,44.2
PI437547,S,45.1
PI438055B,MS,45.6
PI458163,MS,43.7
PI506685,S,45.5
PI507703,S,43.5
PI561327C,,45.9
PI561328,,42.7
PI567737,,45.6
PI592942,,44.2
PI597433,,41.2
PI603363B,,40.5
PI603440B,,39.1
PI132205,S,45.6
PI153252,S,40.3
PI153274,S,37.2
PI227330,MS,43
PI273483A,S,46.4
PI297521,S,44.4
PI370056,S,42
PI378664A,S,44.6
PI398762,S,43.5
PI398767,MS,41.9
PI408065,S,45.6
PI408201A,S,46.3
PI408259A,S,44.3
PI408335B,S,45.7
PI416840,S,43.4
PI417174,S,47.9
PI417534,S,42.3
PI424309A,S,45.3
PI424355,S,45.9
PI424573,,43.6
PI437076,MS,46.1
PI437332,MS,46
PI437463A,S,44.8
PI437526A,MS,43.2
PI437527,S,42.6
PI437548,S,42.2
PI438289,S,44.8
PI438335,MS,43
PI442023,S,40
PI458110,S,41.9
PI467338,S,41.6
PI561299A,,43.6
PI567211A,,41.8
PI567229A,,43.3
PI567417B,S,44.2
PI567469A,S,44.3
PI567510A,S,47.8
PI567587A,S,45.1
PI593972,,39
PI594901,,42.4
PI597445,,40.1
PI603158,,48.2
PI603416,,43.2
PI153283,S,37.2
PI200501,S,42.2
PI243520,S,41.5
PI248514,MS,41.4
PI339994,S,46.5
PI339997,S,44.4
PI372420,S,44.4
PI378670B,,45.2
PI378676A,MS,46.4
PI398398,S,44.5
PI398831,S,45
PI398885,S,44.1
PI398906,S,46.5
PI398920,S,48.1
PI407924,S,42.8
PI407974A,S,45.9
PI408020C,S,41.7
PI408256,S,44.8
PI408289,S,42.6
PI417064,S,46.1
PI417245,,44.7
PI423800,S,45.3
PI423829,S,44.4
PI423846,S,43
PI423877,S,40.2
PI424397,S,44.2
PI424498,S,45.2
PI437070,MS,46.2
PI437111,S,42.4
PI437115,MS,44.3
PI437282,MS,42.5
PI437407,S,43.5
PI437622A,S,44.3
PI437624,S,44.6
PI437685A,MS,45.5
PI437815,S,46.1
PI438048B,S,44.1
PI438383,S,42.5
PI458222,MS,44.2
PI561282C,,43.6
PI567157B,,42.6
PI567237,,48.4
PI567498,MS,45.4
PI567538A,S,49.2
PI594823,,44.3
PI603413,,48.8
PI603698A,,42.7
PI603744,,46.7
PI603784,,
PI153278,S,41.2
PI153284,S,42.2
PI171434,S,43
PI200485,S,40.7
PI274209,S,45.3
PI291309B,S,48.4
PI291320A,S,47.7
PI339995,S,47.7
PI361097B,S,40.3
PI398451,S,47.3
PI398701,,44.7
PI398931,MS,45.4
PI398993,MS,44.9
PI399119,MS,46.2
PI408269B,S,44.7
PI417167,S,47.4
PI417424,S,43.8
PI417543,S,41.9
PI423721,S,47.9
PI424270C,S,44.1
PI424342A,S,46.7
PI424401,S,45.5
PI424477,S,42.7
PI424513,S,45.2
PI424558A,MS,44
PI430596,S,46.6
PI437106,S,42.9
PI437121B,S,42.4
PI437385A,MS,42.8
PI437439,S,44.7
PI437723,S,41.8
PI438300,S,45.1
PI458171A,S,45.2
PI458207,S,44.6
PI506698,S,42.8
PI507295,S,39.8
PI567780A,,44.9
PI574478B,,48.9
PI592956C,,47.6
PI594859,,48.7
PI603404,,48.1
PI157460,S,44.4
PI227325,S,39.8
PI227333,MS,38.8
PI235344,S,40.3
PI290139,S,41.4
PI370059,S,46.4
PI398298,MS,44.4
PI399023,MS,45.8
PI399034,S,45.7
PI407934,MS,44.2
PI407981B,S,45.4
PI408295A,S,45.8
PI417180,S,45.1
PI423798B,S,45.3
PI424149,S,43.6
PI424223,S,43.9
PI424233,S,47.2
PI424366,S,46.3
PI424372,S,46.6
PI424521A,S,44.3
PI424564,MS,42.1
PI437416,MS,43.8
PI437772B,S,43.6
PI437814A,S,44.5
PI437877C,S,44.3
PI438026,S,45.7
PI438304B,S,47.7
PI438334B,S,40.2
PI438405,S,41.9
PI438449,MS,40.4
PI445786,MS,40.4
PI458114,S,42.8
PI467318A,S,42.2
PI561288,,47
PI567422,S,46.1
PI567467,S,44.6
PI588026C,,44.4
PI603424B,,43.8
PI603446,,42.7
PI603745,,45.7
PI605831C,,44.2
PI132215,S,39.7
PI398519,S,43.3
PI398666,S,46.3
PI398773,S,47
PI398941,MS,45.9
PI399094,S,47.3
PI408095B,S,43.8
PI408126A,S,45.1
PI408194,S,46.7
PI416878,S,42.6
PI417065,S,43.4
PI417530,S,41.9
PI417564,S,41.6
PI424171B,S,44.6
PI424335A,S,45.9
PI424388,S,47.3
PI424463,S,39.5
PI424491A,S,42.4
PI437088A,MS,48.4
PI437117,S,45.1
PI437427C,MS,45.1
PI437767,S,44.8
PI437898,S,46.4
PI437983,S,43.3
PI458131,MS,43.5
PI458136,S,43.4
PI506954,S,42.5
PI561312,,44.1
PI567216A,,44.6
PI567224B,,43.5
PI567359,S,48.1
PI578365,,43.3
PI587607B,,43.4
PI594196,,46.8
PI594647B,,48.6
PI605824B,,48.9
PI153286,S,41
PI157490,S,43.3
PI189921,S,39
PI274205,S,45.8
PI274455,S,49.2
PI340012,S,46
PI340042,MS,45.4
PI361103,S,43.7
PI378666,S,42.8
PI378669B,S,45.7
PI398214,S,45.1
PI398228,S,45.5
PI398430,S,43.3
PI398604,,45.7
PI398730,S,46.9
PI398791,S,47
PI398960,S,47.5
PI399073,S,47.9
PI399091,MS,46.4
PI404163,S,47.3
PI404168,S,46.6
PI408261,S,46.5
PI408262A,S,45.3
PI408314,S,42.9
PI417079,S,45.1
PI423872,S,44.8
PI424219A,S,45.6
PI424235,S,43.7
PI424296B,S,42.1
PI424364B,S,45
PI424430,S,44.5
PI424431,S,45.8
PI424492,S,44.3
PI424536,S,44.7
PI424561,MS,45
PI427140,MS,42.7
PI437098,S,40.3
PI437499,S,47.5
PI437593A,MS,44.8
PI437633B,S,43.7
PI437635C,S,44.8
PI437698,S,41.4
PI437759,S,46.7
PI437834B,S,44.9
PI437851A,S,44.9
PI438158A,S,41.9
PI438234B,S,46
PI438290,MS,43.5
PI438424,S,44.4
PI458209,MS,43.6
PI507191,S,45
PI518706A,S,41.7
PI561283,,42.8
PI567197,,47.6
PI574480A,,47.1
PI587967,,43.9
PI587976A,,45.3
PI588010B,,47.9
PI594158,,44.7
PI605817B,,
PI153251,S,41.1
PI153277,S,41.1
PI157404,S,43.1
PI257431,S,40.9
PI372421A,S,43
PI398394,S,45.1
PI398672,MS,49.4
PI398697,S,46.4
PI399010,S,46.2
PI407783,S,44.8
PI408016B,S,45.2
PI417168,S,47.3
PI417175,S,42.5
PI423869,S,43.7
PI424169B,S,45.1
PI424208,S,41.8
PI424229B,S,45.8
PI424261,S,45.6
PI424486,S,44.4
PI437255,S,41.5
PI437260B,S,40.4
PI437306B,MS,45.6
PI437630A,S,43.5
PI437633C,S,45.8
PI458024A,S,44.5
PI458070B,S,44
PI458299,S,43.5
PI507176,S,40.7
PI567288B,S,45.7
PI567608,S,46.9
PI567614D,S,47.6
PI567639,S,46.9
PI567641,S,51.5
PI567772,,46.2
PI587999B,,45.5
PI597425,,40.2
PI597441,,42.2
PI603469,,44.8
PI603583,,47.1
PI157396,S,43.4
PI189888,S,38.7
PI189944,S,43.6
PI274206,S,46.5
PI290125,S,42.3
PI319536A,S,42.3
PI339983,S,44.3
PI372415A,S,45.5
PI378681,S,43.9
PI391588,S,42.2
PI398291,MS,43.6
PI398843,S,42.6
PI398980,MS,44.5
PI408006,S,45.4
PI408138D,S,46
PI416859,S,44.5
PI423752B,S,42.1
PI424288,S,43.7
PI424300A,S,40.8
PI424406A,S,43.2
PI424407,S,44.2
PI424449,S,44
PI424468,S,43.4
PI424559,MS,43.8
PI437101,S,47.2
PI437772A,S,44.4
PI438358B,S,42.4
PI438378,S,40.8
PI445791,MS,40.4
PI458135,S,42.1
PI507029,S,43.3
PI507132B,S,41.8
PI567457,S,44.8
PI567583B,S,47.9
PI592899,,41.8
PI594624,,47.9
PI597440C,,37
PI603526,,42.8
PI603582,,45.9
PI605840G,,44.9
PI257429,S,41
PI360963A,MS,42.1
PI398463,S,45.6
PI398664,MS,46.3
PI398693,S,44.5
PI398930,S,43.6
PI398996,S,44.9
PI407991,S,43.7
PI408050B,S,47.1
PI408052C,S,46.3
PI408089,S,46.2
PI408235,S,43.5
PI408248A,S,45.5
PI416769B,S,44.8
PI417135A,S,46.1
PI417538,S,42.6
PI417540,S,42.9
PI423796B,S,46.8
PI423933,S,44.9
PI424234B,S,42.6
PI424313,MS,45.9
PI424459,S,45.1
PI424605A,MS,45.5
PI424614,MS,47.1
PI437261B,MS,41.3
PI437355,S,43.5
PI437705,MS,43.6
PI437996C,S,46.2
PI458151,S,44.4
PI458203A,S,44.2
PI561337,,42.5
PI567213D,,41.8
PI567246,,45.3
PI574479B,,45
PI578479,,42.5
PI587620C,,47.5
PI594268B,,39.7
PI594471B,,47.1
PI603402,,45.5
PI189875,S,47.3
PI232999,S,42.4
PI248509B,S,41.8
PI290152,S,39.2
PI339981,S,44.1
PI393535,S,46.2
PI398656,MS,47.3
PI398681,MS,45
PI407730,S,45.1
PI416748,S,44.8
PI416959,S,46.1
PI417076,S,44.9
PI417340,S,46.2
PI417513C,S,45.5
PI417519B,S,44
PI423777,S,45.8
PI424405C,S,44.6
PI424517A,S,45.9
PI424546A,S,45.4
PI437292B,MS,42
PI437381D,S,42.7
PI437450,S,44.5
PI437750,MS,43.4
PI438044,S,46
PI458191,MS,46.3
PI532443,S,47.8
PI540740,S,40.4
PI561304A,,41.6
PI567175C,,41.8
PI567489A,S,48.6
PI567589,S,48.9
PI567627A,S,45.9
PI594845,,46.3
PI603160,,46.5
PI603166,,44.6
PI603176A,,51.2
PI605840D,,46.1
PI605840F,,46.2
PI153264,S,37.5
PI153282,S,38.3
PI189896,S,38.7
PI209335,S,41.2
PI227218,S,46.8
PI291331,S,40.5
PI347540A,S,42
PI398222,S,45.8
PI398879,S,46.7
PI404155C,MS,43.3
PI407858,S,44.3
PI407914C,S,47.1
PI407974B,S,46.7
PI416747,S,44.3
PI416858,S,44.2
PI417021,S,45.4
PI417032,S,46.1
PI423789,S,44
PI423795,S,42.8
PI423987B,S,44.2
PI424249C,S,47.5
PI424488A,S,45.1
PI424493A,S,44.4
PI437296,S,43.8
PI437300,S,40.7
PI437396,S,46.4
PI437408C,S,46.3
PI437413,S,43
PI437428A,MS,44.8
PI437431,S,45.1
PI437756A,S,42.9
PI437830,S,43.4
PI437868,S,44.7
PI442006,S,45
PI442037,MS,39.5
PI458145,MS,45.7
PI458294,MS,43.5
PI466749A,S,41.6
PI506477,S,41.7
PI508296A,S,47.7
PI567375B,S,45.7
PI567514A,S,46
PI567574B,S,49
PI567771A,MS,49.2
PI597393,,42.6
PI597416,,41.9
PI603408,,44.6
PI603687A,,44.8
PI603723,,43.6
PI603730D,,45.2
PI250002,S,41.5
PI295950,S,42
PI323586C,S,42.6
PI339996,MS,43.8
PI391594,S,44.6
PI398380,S,41.3
PI398501,S,45.1
PI398994,MS,46.6
PI407918B,S,46.9
PI408216A,S,47.9
PI408225A,S,42.2
PI408338,S,44.5
PI417233,MS,45.6
PI424214A,S,45.4
PI424291,S,43.7
PI424327,S,44.1
PI424608B,MS,45
PI437344D,S,44
PI437843A,MS,44.3
PI438141B,S,40.3
PI438263,MS,41.2
PI445795,MS,43.5
PI458040,S,44.4
PI506479,S,40.9
PI567166,,47.7
PI567464,S,48.1
PI567490,MS,42.1
PI567541B,S,47
PI567744A,,47.1
PI567767A,,46.6
PI567775A,,45.3
PI587998C,,46.7
PI594576,,46.2
PI603301B,,41.7
PI603308A,,40.4
PI603587A,,42
PI159923B,S,40.5
PI181539,S,45
PI196172,MS,44.1
PI198067,S,43
PI205087,S,42.3
PI340046,S,45.1
PI398405,MS,46.7
PI398938,MS,46.1
PI407906,S,43.3
PI407952B,MS,46.9
PI408010-1,MS,42.7
PI416751,S,44.6
PI417453,S,44.5
PI424227A,S,44.1
PI424265,S,48.4
PI424296A,MS,45.5
PI424410,S,45.5
PI437294B,S,46.3
PI437418,MS,45.8
PI437615C,S,44.2
PI437853A,S,40.3
PI438504A,S,42.4
PI458230A,MS,43.4
PI506478,S,42.6
PI507062B,S,42.6
PI507167B,S,43.3
PI567288A,S,43.3
PI594227B,,44.9
PI603751A,,46.1
PI151249,S,46
PI153241,S,41
PI200548,MS,44.2
PI205086,S,41.4
PI398358,,46.2
PI398395,MS,41.6
PI398822,S,45.1
PI404185,S,46.5
PI408020B,MS,44.1
PI408138A,S,46
PI416976,S,45.1
PI417230,S,43.3
PI417244,MS,46.3
PI417382,S,46.7
PI423833A,S,47.5
PI424231,S,45.2
PI424249D,S,45.9
PI424271,MS,42.2
PI424530,S,42.5
PI424540,S,45.1
PI424566,S,43.5
PI424588,S,42.9
PI437093,S,45.2
PI437466,S,44.6
PI437477A,MS,44.8
PI437648B,S,41.5
PI438166A,S,42.8
PI458089,S,45.1
PI458119,S,41.9
PI490765,S,41.5
PI504492,S,42.3
PI506930,S,40.3
PI567151,,39.3
PI567357,S,48.5
PI594632,,43.5
PI594682B,,50.7
PI605821B,,45.4
PI189937,S,43.7
PI196170,S,44.1
PI243536,S,44.1
PI274423,S,45.5
PI384467,S,42.5
PI398306,S,45.1
PI398440,S,48.6
PI398921,MS,46.2
PI408103,S,44.7
PI408114,S,44.3
PI417195,S,45.2
PI417384,S,47
PI423725,S,45.5
PI424546B,S,41.6
PI437470,S,42.3
PI437617,S,43.3
PI437764,S,43.4
PI438404,S,44.4
PI438506,S,41.8
PI442027,S,38.8
PI458026,S,45.6
PI458112A,S,43
PI506876,S,41.7
PI507053,S,45.3
PI507695,S,44.1
PI561311A,,44.1
PI567293,S,45.1
PI567434,S,43.6
PI567642B,S,45.3
PI567780B,,46
PI588030,,44.9
PI594455B,,48.1
PI603432B,,41.3
PI603463,,42.5
PI603546B,,44.5
PI603567A,,41
PI603598A,,44.1
PI248513,S,40.6
PI261475,MS,45
PI370058,S,41
PI378669C,S,44.8
PI378675B,S,42.9
PI398549,MS,45.7
PI407659B,S,45
PI407977,S,43.6
PI408072,S,45.4
PI416920,S,44.7
PI417246,S,45.9
PI423868,S,44.2
PI424409,S,46.1
PI424476,S,43.6
PI424596,S,43
PI437259,MS,41.2
PI437408A,MS,44.3
PI437721B,S,41.4
PI438033,S,45.8
PI438285,S,40.9
PI438346,MS,46
PI438401,S,43.8
PI458074A,S,43.3
PI458116,S,43.6
PI458152,MS,43.5
PI458156,MS,43.2
PI508296G,S,46.9
PI567661A,S,44.3
PI594615,,47.1
PI603157,,49.6
PI603698G,,50.9
PI603716,,42
PI605788,,
PI157405,MS,41.7
PI189872,S,43.8
PI229314,S,38.5
PI235347,S,43.7
PI274421,S,43.2
PI398224,S,48.2
PI398289,S,43.4
PI398382,S,47.3
PI398494,S,46.4
PI399070,S,44.3
PI407960A,S,47.2
PI408074B,S,43.4
PI408196B,S,42.9
PI408212B,S,46.1
PI416892,S,41.7
PI417523,S,42.8
PI424460,S,45.2
PI424549A,S,44.6
PI437223A,S,42.7
PI437348,MS,44.9
PI437549,S,41.5
PI437758,S,43.2
PI437782,S,45.4
PI438365,S,42.6
PI458029,S,44.2
PI458109,S,44.1
PI458259,S,41.8
PI458266,S,45.2
PI506482,S,43.2
PI506784,S,40.8
PI506849,S,42.5
PI506873,S,44.7
PI567563B,S,46.5
PI602497B,,41.3
PI157477,S,45.1
PI173994,MS,44.3
PI189870,S,42.3
PI189956,S,41.2
PI290157,S,42.2
PI291329,S,41
PI361098,S,41.9
PI398237,S,44
PI398252,S,43.8
PI398420,S,49.3
PI398915,S,46.9
PI398990,S,45.4
PI399039,S,46.1
PI407715,S,45.1
PI408017,S,43.7
PI416757,S,44.6
PI416817,S,45
PI416992,S,42.4
PI417207,S,44.6
PI417242,S,44.8
PI417285,MS,44.9
PI417304,MS,48.3
PI423941,S,42.8
PI424343,S,48.2
PI437229,S,41
PI437265A,S,39.3
PI437284,S,41.2
PI437354,MS,42.6
PI437385B,S,43.8
PI437776,S,43.9
PI438349,S,41.6
PI442005,MS,46.4
PI458125,MS,45
PI506866,S,43.5
PI507066,S,45.7
PI567215A,,41.5
PI567409A,S,42.1
PI567508A,MS,44.1
PI567579,S,47.1
PI567642A,S,51
PI578376,,41.4
PI588033A,,44.2
PI594456A,,46
PI603658,,45.2
PI605841A,,44.4
PI189932,S,40.5
PI232900,S,40.7
PI243518,MS,43
PI243549,S,43.5
PI261466,S,43.5
PI393541A,S,45.1
PI398244,S,45.6
PI398268,S,42.9
PI398367,MS,48.3
PI398386,MS,41.2
PI398572,S,46.3
PI398746,S,44.7
PI404194,S,44.8
PI408125A,S,46.1
PI408126B,S,43.9
PI408166B,S,43.4
PI408310B,S,43.5
PI417183,S,46.5
PI417299,S,42
PI423709,S,42.1
PI423731,S,42.5
PI424575,S,44.6
PI437276,S,41.6
PI437336A,S,43.3
PI437419A,MS,43.3
PI437524,MS,47
PI437614B,S,44.4
PI438486,S,45.6
PI442033,S,46.6
PI458149,S,44.8
PI507680,S,44.9
PI518710,S,43
PI567163,,42.2
PI567370A,MS,48.1
PI567499,S,44.6
PI567658,S,46.3
PI567712,MS,49.3
PI567770A,,43.7
PI578391,,42.9
PI587980A,,45.1
PI594153,,44.4
PI597411A,,39.9
PI605825B,,48.3
PI181533,MS,39
PI189864,S,38
PI243540,,40.7
PI398832,S,46
PI398878,,45.9
PI398937,S,47
PI399093,S,46.6
PI407973A,S,47.9
PI408288,S,43.6
PI408335A,S,46.2
PI416818,S,46.1
PI424155B,S,45.7
PI424239,S,43.2
PI424251A,S,44.6
PI437252,S,41.3
PI437266,MS,41.1
PI437377,S,49.6
PI437561,S,44.4
PI437811,S,41.7
PI437982,MS,43.4
PI437996A,MS,43.9
PI458077,S,42.6
PI458244B,,43.4
PI506770,S,45
PI506790,S,41.4
PI567697,,48.9
PI592959,,40.1
PI594198,,41.8
PI603465B,,42.9
PI194627,S,42.8
PI273483E,S,46
PI340018,S,45.8
PI340049,S,45
PI398540,S,45.1
PI398615,,46.7
PI398694,MS,44.9
PI398883,S,44.7
PI398965,S,44.2
PI399054,S,43.2
PI407721,MS,44.6
PI407927A,S,45.5
PI416763,S,43.2
PI416954,S,42.9
PI417343,S,44.9
PI417451,S,44.6
PI417472B,MS,44.7
PI417565,S,41.6
PI423776,S,45.2
PI424294A,S,47.3
PI424590A,S,42.7
PI437462B,S,43.9
PI437635B,S,46.6
PI437737,S,43.2
PI437831,S,45.8
PI438427,S,49.3
PI458144,MS,45.6
PI506721,S,41.7
PI561334,,44.4
PI567513,MS,44.5
PI578494A,,41.7
PI587608A,,47.2
PI592979,,38.8
PI594486A,,46.8
PI594638A,,43.1
PI603736,,39.3
PI603915C,,40.6
PI181540,S,45.6
PI181552,S,41.3
PI189862,S,43.5
PI196150,S,39.2
PI196171,MS,43.6
PI253651D,S,42
PI340054,S,43.5
PI347544B,S,44.9
PI361073,S,44.8
PI372403C,S,40.1
PI398401,,44.9
PI398419,S,47
PI398929,MS,44.8
PI398953,S,46
PI399008,S,44.1
PI399016,S,47.4
PI408068A,S,44.9
PI408320,S,44.6
PI416789,S,43.9
PI417092,S,44.2
PI417255,S,45.2
PI417353,S,45.1
PI423867,S,40.3
PI423883,S,45.9
PI423940,S,44.4
PI423975,S,44.3
PI424414,S,43.3
PI424436,S,44.1
PI424504B,S,46
PI424572,MS,45.3
PI427143,S,43
PI437221,MS,40.5
PI437256,S,42.1
PI437271,S,41.2
PI437398,MS,47.8
PI437420C,S,43.5
PI437586A,S,45.1
PI438234A,S,43.2
PI468381,S,40.8
PI495017C,,44.8
PI506769,S,44.8
PI507054,S,41.5
PI567153,,43.2
PI567372A,MS,50.5
PI567433B,MS,46
PI567550,S,47.4
PI567575,S,45.4
PI567583C,S,47
PI594018,,43.5
PI594900A,,43.9
PI603558,,46.7
PI603668A,,45.4
PI603691,,44.8
PI603724D,,44.4
PI603735B,,49.1
PI603780,,
PI180529,S,43.1
PI200499,S,45
PI291274A,S,45.8
PI291310B,S,45.4
PI297502,S,46.7
PI317334A,S,44.3
PI319536B,S,44.8
PI398700,MS,45.3
PI398936,S,45.5
PI399069,,46.3
PI404175,MS,45.7
PI404180,S,45.5
PI407796,S,46.5
PI407867A,S,43.9
PI407867B,S,45.5
PI407875B,S,45.5
PI408013,S,42.6
PI408029,S,43.9
PI408255A,S,46.4
PI408272C,MS,44.3
PI417309A,S,47.5
PI417323,S,44.7
PI423896,S,44.2
PI424465,S,43
PI424547,S,42.5
PI437109B,MS,44.7
PI437127B,MS,44.5
PI437281,S,42.7
PI437434B,S,46.3
PI437550A,S,43.4
PI437795,S,44.3
PI507019,S,45.5
PI561302C,,47.2
PI561308,,48.7
PI561374,,47.3
PI567161,,43.3
PI567618B,S,51.5
PI592953,,41.2
PI594250,,42.8
PI594600,,45.4
PI594899A,,40.9
PI603165A,,46.8
PI603472A,,43.4
PI603533,,49.9
PI603599B,,41.1
PI603705B,,
PI603711B,,45.8
PI603712,,53.9
PI196148,S,41.6
PI232899,S,42.6
PI243533,S,42.3
PI340002,S,44
PI378670A,S,45.9
PI398236,S,44.9
PI398383,S,47.9
PI398444,S,45.8
PI398489,S,45.2
PI398493,MS,45.8
PI398529,MS,43.5
PI398674,S,42.5
PI399005,S,45.5
PI407860,MS,44.5
PI407877A,S,46.2
PI417028,S,45.5
PI417044,S,45.4
PI417532,S,43.7
PI423791,S,41.4
PI424350,S,45.3
PI424525,S,41.5
PI437254,MS,40.8
PI437438,S,46.4
PI437557,S,42.4
PI437893,S,46.6
PI438339B,S,43.3
PI438369B,S,38.9
PI458022,S,43.5
PI458030,S,45.2
PI458085A,S,43.9
PI507385,S,42.5
PI567212B,,44.1
PI567444,S,46.3
PI567463,S,46.3
PI567482A,S,47.4
PI567510B,S,49.5
PI567602A,S,47.8
PI567624,MS,41.7
PI567771D,MS,47.2
PI587620A,,43.7
PI593979,,55.8
PI594886,,45.2
PI603398B,,44.7
PI603752,,44.2
PI153239,S,40
PI180508,S,43
PI194647,S,42.5
PI200535,S,43.7
PI204653,S,41
PI219783,MS,40.8
PI290151,S,43.1
PI340011,S,49.3
PI372422,S,43
PI398215,S,44.9
PI398388,MS,45.5
PI398619,S,44.6
PI398814,MS,45.8
PI407913B,S,41.6
PI408032B,S,44.5
PI408052B,S,47.1
PI417214,S,42
PI417300,S,44.7
PI423948B,S,46.8
PI424188B,S,44.9
PI424499D,S,44.2
PI424552,S,42.5
PI437147,S,42
PI437234,MS,41.2
PI437381C,S,44.8
PI437801,S,44.1
PI438295,S,42.5
PI438382,S,40.2
PI506787,S,41.5
PI507171,S,44
PI507182,S,43.7
PI507395,S,42.3
PI561331,,41
PI567520B,S,50
PI567614B,S,53.6
PI603669,,44.1
PI603706A,,43.8
PI603719C,,46.3
PI603729,,45.8
PI181534,S,38.2
PI200457,,45
PI246366,S,40.5
PI290158,S,41
PI398652,S,42.9
PI407872A,S,43.9
PI407975A,S,44.2
PI408008,S,44.1
PI408258,S,47.7
PI417241,S,45.9
PI417257,S,42.9
PI417287,S,45.6
PI417549,S,43.3
PI417558,S,40.7
PI423884,S,48.1
PI423942,S,48.9
PI424321,S,46
PI424479,S,45.7
PI437432A,MS,45.2
PI437629,MS,45.8
PI437824,MS,45
PI438298,S,41.9
PI458224,S,44.6
PI468915,,40.6
PI483082A,S,40.9
PI506832,S,47.6
PI567415A,S,43.4
PI567488A,,47.2
PI587620B,,47.3
PI603476,,45.3
PI603735A,,46.9
PI189899,S,44
PI253655,S,44.3
PI291310C,S,47.2
